Group Games,,,,,,Seed after group games,,,,BRACKET GAMES,,,,,,,,,,,,,
A,Team,Score,Score,Team,,Group A,Seed,Team,,Seed,Team,Score,,Seed,Team,Score,,1,Airborne,,,,
B2 vs B6,Stall 7,,,BPHC,,,,,,7,L2f,,â,,,,,,,,,,
B2 vs B7,Stall 7,,,Puyal,,,,,,,,,,,,,,,,,,,
B3 vs B5,L2f,10,9,CFT,,,,,,,,,,,,,,,,,,,
B3 vs B6,L2f,,,BPHC,,,,,,,,,,7,L2f,12,,,,,,,
B4 vs B5,TIKS,,,CFT,,,,,,,,,,,,,,,,,,,
B4 vs B7,TIKS,,,Puyal,,,,,,,,,,8,No Fly Zone,10,,,,,,,
B5 vs B6,CFT,,,BPHC,,,,,,,,,,,,,,,,,,,
B5 vs B7,CFT,,,Puyal,,,,,,,,,,,,,,,,,,,
B1 vs B7,Airborne,,,Puyal,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,9,Alma Matter,,,9,Alma Matter,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,12,Puyal,,,10,CFT,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,10,CFT,,,11,Callahans,11,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,11,Callahans,,,12,Puyal,5,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,13,BPHC,15,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,14,Sapthavyuha,0,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1,Airborne,471,480.42,480
,,,,,,,,,,,,,,,,,,,2,Spinergy,455,464.1,464
,,,,,,,,,,,,,,,,,,,3,ATC,449.5,458.49,458
,,,,,,,,,,,,,,,,,,,4,Stall 7,434.5,443.19,443
,,,,,,,,,,,,,,,,,,,5,Airbenders,433,441.66,442
,,,,,,,,,,,,,,,,,,,6,TIKS,431.5,440.13,440
,,,,,,,,,,,,,,,,,,,7,L2f,395.5,403.41,403
,,,,,,,,,,,,,,,,,,,8,No Fly Zone,323.5,329.97,330
,,,,,,,,,,,,,,,,,,,9,CFT,272,277.44,277
,,,,,,,,,,,,,,,,,,,10,Alma MAtter,183.5,187.17,187
,,,,,,,,,,,,,,,,,,,11,Callahans,193,196.86,197
,,,,,,,,,,,,,,,,,,,12,Puyal,149.5,152.49,152
,,,,,,,,,,,,,,,,,,,13,BPHC,142.5,145.35,145
,,,,,,,,,,,,,,,,,,,14,Sapthavyuha,50,51,51
